Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,,Player2,Salary1,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dalton Knecht,"$3,819,120 ",,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tari Eason,"$3,695,160 ",,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Jaquez,"$3,685,800 ",,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tristan da Silva,"$3,628,440 ",,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandin Podziemski,"$3,519,960 ",,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dalen Terry,"$3,510,480 ",,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sviatoslav Mykhailiuk,"$3,500,000 ",,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cody Zeller,"$3,500,000 ",,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ja'Kobe Walter,"$3,465,000 ",,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameron Whitmore,"$3,379,068 ",,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake LaRavia,"$3,352,680 ",,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajay Mitchell,"$3,347,451 ",,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaylon Tyson,"$3,326,160 ",,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Gordon,"$3,303,771 ",,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seth Curry,"$3,303,771 ",,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taj Gibson,"$3,303,771 ",,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tristan Thompson,"$3,303,771 ",,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spencer Dinwiddie,"$3,303,771 ",,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DeAndre Jordan,"$3,303,771 ",,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Johnson,"$3,303,771 ",,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Mills,"$3,303,771 ",,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markieff Morris,"$3,303,771 ",,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alec Burks,"$3,303,771 ",,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Ingles,"$3,303,771 ",,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cory Joseph,"$3,303,771 ",,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Lowry,"$3,303,771 ",,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mason Plumlee,"$3,303,771 ",,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doug McDermott,"$3,303,771 ",,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garrett Temple,"$3,303,771 ",,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Roddy,"$3,269,623 ",,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noah Clowney,"$3,244,080 ",,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Porter,"$3,237,691 ",,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malaki Branham,"$3,217,920 ",,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yves Missi,"$3,193,200 ",,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dante Exum,"$3,150,000 ",,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dariq Whitehead,"$3,114,342 ",,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nassir Little,"$3,107,143 ",,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Braun,"$3,089,640 ",,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnny Juzang,"$3,087,519 ",,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DaRon Holmes,"$3,065,640 ",,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Richardson,"$3,051,153 ",,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Wood,"$3,036,040 ",,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameron Payne,"$3,003,427 ",,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delon Wright,"$3,003,427 ",,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyus Jones,"$3,003,427 ",,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julian Champagnie,"$3,000,000 ",,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Filipowski,"$3,000,000 ",,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kris Murray,"$2,990,040 ",,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taurean Prince,"$2,988,550 ",,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker Kessler,"$2,965,920 ",,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shake Milton,"$2,875,000 ",,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olivier-Maxence Prosper,"$2,870,406 ",,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MarJon Beauchamp,"$2,865,623 ",,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devonte Graham,"$2,850,000 ",,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyshawn George,"$2,825,520 ",,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luke Kornet,"$2,800,834 ",,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Theis,"$2,800,834 ",,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damion Lee,"$2,800,834 ",,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monte Morris,"$2,800,834 ",,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AJ Johnson,"$2,795,294 ",,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo Bamba,"$2,763,299 ",,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Sasser,"$2,755,229 ",,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trendon Watford,"$2,726,603 ",,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wendell Moore,"$2,723,634 ",,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Sheppard,"$2,664,031 ",,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keita Bates-Diop,"$2,654,644 ",,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blake Wesley,"$2,624,280 ",,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dillon Jones,"$2,622,360 ",,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jae Crowder,"$2,620,232 ",,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gary Trent Jr,"$2,613,120 ",,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Baldwin,"$2,590,394 ",,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith,"$2,587,108 ",,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brice Sensabaugh,"$2,571,030 ",,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ty Jerome,"$2,560,975 ",,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julian Strawther,"$2,552,596 ",,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terrence Shannon Jr.,"$2,546,640 ",,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobe Brown,"$2,534,024 ",,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Dunn,"$2,530,800 ",,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isaiah Collier,"$2,512,680 ",,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baylor Scheierman,"$2,494,320 ",,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Jovic,"$2,464,200 ",,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaxson Hayes,"$2,463,946 ",,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Reddish,"$2,463,946 ",,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DaQuan Jeffries,"$2,425,403 ",,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talen Horton-Tucker,"$2,425,403 ",,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Javonte Green,"$2,425,403 ",,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlatko Cancar,"$2,425,403 ",,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bol Bol,"$2,425,403 ",,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan McLaughlin,"$2,425,403 ",,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peyton Watson,"$2,413,560 ",,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Brown,"$2,237,692 ",,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xavier Tillman,"$2,237,691 ",,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Gill,"$2,237,691 ",,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Wiseman,"$2,237,691 ",,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garrison Mathews,"$2,230,253 ",,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justin Champagnie,"$2,224,662 ",,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JaVale McGee,"$2,208,856 ",,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lindy Waters III,"$2,196,970 ",,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremiah Robinson-Earl,"$2,196,970 ",,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dalano Banton,"$2,196,970 ",,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Merrill,"$2,164,993 ",,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duane Washington Jr,"$2,162,607 ",,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vit Krejci,"$2,162,606 ",,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neemias Queta,"$2,162,606 ",,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keon Johnson,"$2,162,606 ",,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luka Garza,"$2,162,606 ",,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Bassey,"$2,162,606 ",,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandro Mamukelashvili,"$2,162,606 ",,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vince Williams Jr,"$2,120,693 ",,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AJ Green,"$2,120,693 ",,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones,"$2,120,693 ",,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keon Ellis,"$2,120,693 ",,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidy Cissoko,"$2,100,971 ",,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Hauser,"$2,092,344 ",,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jericho Sims,"$2,092,344 ",,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay Huff,"$2,088,033 ",,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scotty Pippen Jr,"$2,087,519 ",,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Kolek,"$2,087,519 ",,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guerschon Yabusele,"$2,087,519 ",,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duop Reath,"$2,048,780 ",,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Nembhard,"$2,019,699 ",,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaden Hardy,"$2,019,699 ",,,
319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kennedy Chandler,"$2,019,699 ",,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Minott,"$2,019,699 ",,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaylin Williams,"$2,019,699 ",,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caleb Houstan,"$2,019,699 ",,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jabari Walker,"$2,019,699 ",,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jose Alvarado,"$1,988,598 ",,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julian Phillips,"$1,891,857 ",,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Craig Porter,"$1,891,857 ",,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen Pickett,"$1,891,857 ",,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter Tyson,"$1,891,857 ",,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GG Jackson,"$1,891,857 ",,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andre Jackson Jr,"$1,891,857 ",,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Livingston,"$1,891,857 ",,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Miller,"$1,891,857 ",,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ricky Council,"$1,891,857 ",,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouhamed Gueye,"$1,891,857 ",,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Walsh,"$1,891,857 ",,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxwell Lewis,"$1,891,857 ",,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen Wilson,"$1,891,857 ",,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trayce Jackson-Davis,"$1,891,857 ",,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gui Santos,"$1,891,857 ",,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toumani Camara,"$1,891,857 ",,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayan Rupert,"$1,891,857 ",,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oso Ighodaro,"$1,862,265 ",,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Mogbo,"$1,862,265 ",,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamal Shead,"$1,862,265 ",,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Izaiah Brockington,"$1,862,265 ",,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnny Furphy,"$1,850,842 ",,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacome Dadiet,"$1,808,080 ",,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando Robinson,"$1,764,727 ",,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landry Shamet,"$1,682,008 ",,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Rollins,"$1,549,888 ",,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Miller,"$1,471,445 ",,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karlo Matkovic,"$1,407,153 ",,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamison Battle,"$1,350,668 ",,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moussa Diabate,"$1,314,865 ",,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Bledsoe,"$1,300,000 ",,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJ Liddell,"$1,285,475 ",,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bismack Biyombo,"$1,253,154 ",,,
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobi Klintman,"$1,157,153 ",,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Christie,"$1,157,153 ",,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronny James,"$1,157,153 ",,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaylen Wells,"$1,157,153 ",,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelle Larsson,"$1,157,153 ",,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Smith,"$1,157,153 ",,,
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Reeves,"$1,157,153 ",,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adem Bona,"$1,157,153 ",,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jared Butler,"$1,115,697 ",,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruno Fernando,"$1,115,128 ",,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ariel Hukporti,"$1,112,306 ",,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elfrid Payton,"$1,099,236 ",,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PJ Dozier,"$1,051,255 ",,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ Boston,"$1,005,158 ",,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Primo,"$1,000,000 ",,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markelle Fultz,"$981,902 ",,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,"$978,541 ",,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrese Martin,"$959,732 ",,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin Castleton,"$955,125 ",,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeenathan Williams,"$940,543 ",,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keshad Johnson,"$937,214 ",,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominick Barlow,"$922,983 ",,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaylen Clark,"$907,334 ",,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pat Spencer,"$869,906 ",,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Jemison,"$864,902 ",,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Branden Carlson,"$795,038 ",,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quinten Post,"$789,588 ",,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justin Edwards,"$782,721 ",,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lonnie Walker,"$780,932 ",,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kai Jones,"$713,697 ",,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Toppin,"$710,480 ",,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nik Stauskas,"$702,311 ",,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamar Stevens,"$668,735 ",,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Knox,"$660,790 ",,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isaac Jones,"$641,962 ",,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tony Bradley,"$635,312 ",,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Williams,"$598,120 ",,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KJ Simpson,"$578,577 ",,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulrich Chomche,"$578,577 ",,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keaton Wallace,"$578,577 ",,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drew Peterson,"$578,577 ",,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reece Beekman,"$578,577 ",,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adama Sanogo,"$578,577 ",,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emoni Bates,"$578,577 ",,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luke Travers,"$578,577 ",,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kessler Edwards,"$578,577 ",,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jazian Gortman,"$578,577 ",,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Alexander,"$578,577 ",,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PJ Hall,"$578,577 ",,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spencer Jones,"$578,577 ",,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniss Jenkins,"$578,577 ",,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N'Faly Dante,"$578,577 ",,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack McVeigh,"$578,577 ",,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enrique Freeman,"$578,577 ",,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quenton Jackson,"$578,577 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trentyn Flowers,"$578,577 ",,,
